username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2020-04-30 11:56;19316;115289;"FAKE POLLING, just like 2016 (but worse)!";;;;"1255828428814770176";https://twitter.com/realDonaldTrump/status/1255828428814770176
realDonaldTrump;2020-04-30 11:47;38198;162285;"What happened to General Michael Flynn, a war hero, should never be allowed to happen to a citizen of the United States again!";;;;"1255826177350144001";https://twitter.com/realDonaldTrump/status/1255826177350144001
realDonaldTrump;2020-04-30 11:47;28842;99786;"Does anybody really believe that Roger Stone, a man whose house was raided early in the morning by 29 gun toting FBI Agents (with Fake News @CNN closely in toe), was treated fairly. How about the jury forewoman with her unannounced hatred & bias. Same scammers as General Flynn!";;@CNN;;"1255825998521741312";https://twitter.com/realDonaldTrump/status/1255825998521741312
realDonaldTrump;2020-04-30 11:45;17419;84799;"Despite reports to the contrary, Sweden is paying heavily for its decision not to lockdown. As of today, 2462 people have died there, a much higher number than the neighboring countries of Norway (207), Finland (206) or Denmark (443). The United States made the correct decision!";;;;"1255825648448348161";https://twitter.com/realDonaldTrump/status/1255825648448348161
realDonaldTrump;2020-04-30 04:41;19744;60262;"Lyin’ Brian Williams of MSDNC!pic.twitter.com/3gtkdmoZjJ";;;;"1255718837762306049";https://twitter.com/realDonaldTrump/status/1255718837762306049
realDonaldTrump;2020-04-30 04:23;35237;147581;"I must admit that Lyin’ Brian Williams is, while dumber than hell, quite a bit smarter than Fake News @CNN “anchorman” Don Lemon, the “dumbest man on television”. Then you have Psycho Joe “What Ever Happened To Your Girlfriend?” Scarborough, another of the low I.Q. individuals!";;@CNN;;"1255714490554953736";https://twitter.com/realDonaldTrump/status/1255714490554953736
realDonaldTrump;2020-04-30 04:09;24441;108651;"Lyin’ Brian Williams of MSDNC, a Concast Scam Company, wouldn’t know the truth if it was nailed to his wooden forehead. Remember when he lied about his bravery in a helicopter? Totally made up story. He’s a true dummy who was thrown off Network News like a dog. Stay tuned!";;;;"1255710938075889664";https://twitter.com/realDonaldTrump/status/1255710938075889664
realDonaldTrump;2020-04-30 04:01;26511;117737;"Just told that Fake News @CNN is falsely reporting that I was recently shouting at my campaign manager over made up nonsense. Actually, he is doing a great job, I never shouted at him (been with me for years, including the 2016 win), & have no intention to do so. Just FAKE NEWS!";;@CNN;;"1255708741950943233";https://twitter.com/realDonaldTrump/status/1255708741950943233
realDonaldTrump;2020-04-30 03:52;42563;145521;". @CNN doesn’t want to speak about their persecution of General Michael Flynn & why they got the story so wrong. They, along with others, should pay a big price for what they have purposely done to this man & his family. They won’t even cover the big breaking news about this scam!";;@CNN;;"1255706636972363776";https://twitter.com/realDonaldTrump/status/1255706636972363776
realDonaldTrump;2020-04-30 03:11;15739;52908;"https://dailycaller.com/2020/04/29/michael-flynn-strzok-fbi-notes-michael-flynn-interview/ …";;;;"1255696235970940934";https://twitter.com/realDonaldTrump/status/1255696235970940934
realDonaldTrump;2020-04-30 00:52;7582;47929;"Happy Birthday to three time Olympian and five term Congressman, @JimRyun!";;@JimRyun;;"1255661296047067138";https://twitter.com/realDonaldTrump/status/1255661296047067138
realDonaldTrump;2020-04-30 00:36;26904;81065;"https://www.foxnews.com/politics/michael-flynn-fbi-handwritten-notes-get-him-lie-fired …";;;;"1255657225659523072";https://twitter.com/realDonaldTrump/status/1255657225659523072
realDonaldTrump;2020-04-30 00:34;28728;80708;"https://thefederalist.com/2020/04/29/explosive-new-flynn-documents-show-fbi-goal-was-to-get-him-fired/ …";;;;"1255656645759246341";https://twitter.com/realDonaldTrump/status/1255656645759246341
realDonaldTrump;2020-04-29 14:55;14628;60629;"No, I think Amash would make a wonderful candidate, especially since he is way behind in his district and has no chance of maintaining his Congressional seat. He almost always votes for the Do Nothing Dems anyway. I like him even more than Jill Stein!https://twitter.com/TheRickWilson/status/1255485246054809608 …";;;;"1255510996623527936";https://twitter.com/realDonaldTrump/status/1255510996623527936
realDonaldTrump;2020-04-29 14:42;21963;68773;"THANK YOU @MarkLevinShow!pic.twitter.com/GJSNM0LUQH";;@MarkLevinShow;;"1255507868280856581";https://twitter.com/realDonaldTrump/status/1255507868280856581
realDonaldTrump;2020-04-29 13:09;22410;72400;"At least they admit it. The Failing @nytimes & @washingtonpost never correct their Fake Reporting!https://twitter.com/maxwelltani/status/1255161727706116096 …";;@nytimes @washingtonpost;;"1255484391364665351";https://twitter.com/realDonaldTrump/status/1255484391364665351
