County,DEM,REP,Votes,Voters,Year,Prez_Election,State,Voter_ID,Senate_2018,Dem_Percent,Rep_Percent,Rep_Lean,Turnout,FIPS
BEXAR,172513,168816,415276,584335,1992,1,TX,0,0,0.4154176981092093,0.4065151850817288,-0.008902513027480519,0.7106813728426331,48029
BLANCO,891,1370,3109,3831,1992,1,TX,0,0,0.28658732711482793,0.4406561595368286,0.15406883242200065,0.8115374575828765,48031
BORDEN,106,184,378,501,1992,1,TX,0,0,0.2804232804232804,0.48677248677248675,0.20634920634920634,0.7544910179640718,48033
BOSQUE,2173,2300,6489,8710,1992,1,TX,0,0,0.3348744028355679,0.3544459855139467,0.019571582678378774,0.7450057405281286,48035
BOWIE,11825,11776,30365,43047,1992,1,TX,0,0,0.3894286184752182,0.3878149184916845,-0.001613699983533723,0.7053917810764978,48037
BRAZORIA,21861,30384,71467,95022,1992,1,TX,0,0,0.3058894314858606,0.42514727076832665,0.11925783928246603,0.7521100376754857,48039
BRAZOS,14819,23943,49340,60915,1992,1,TX,0,0,0.3003445480340495,0.48526550466153223,0.18492095662748276,0.809981121234507,48041
BREWSTER,1383,1127,3247,5117,1992,1,TX,0,0,0.4259316291961811,0.34708962118878967,-0.07884200800739144,0.6345514950166113,48043
BRISCOE,430,360,957,1328,1992,1,TX,0,0,0.44932079414838033,0.3761755485893417,-0.07314524555903862,0.7206325301204819,48045
BROOKS,2856,585,3765,6236,1992,1,TX,0,0,0.7585657370517929,0.1553784860557769,-0.603187250996016,0.6037524053880693,48047
BROWN,4264,5313,12630,17815,1992,1,TX,0,0,0.33760886777513854,0.4206650831353919,0.08305621536025337,0.7089531293853494,48049
BURLESON,2511,2013,5711,8120,1992,1,TX,0,0,0.4396778147434775,0.3524776746629312,-0.08720014008054633,0.7033251231527093,48051
BURNET,3638,4272,10807,13844,1992,1,TX,0,0,0.33663366336633666,0.395299343018414,0.05866567965207736,0.7806269864201097,48053
CALDWELL,3794,2749,8344,12299,1992,1,TX,0,0,0.4546979865771812,0.32945829338446786,-0.12523969319271333,0.678429140580535,48055
CALHOUN,2550,2640,6779,10126,1992,1,TX,0,0,0.37616167576338694,0.3894379702020947,0.013276294438707759,0.6694647442227928,48057
CALLAHAN,1694,2134,5285,7037,1992,1,TX,0,0,0.3205298013245033,0.4037842951750237,0.08325449385052036,0.7510302685803609,48059
CAMERON,29435,20123,59057,100193,1992,1,TX,0,0,0.4984167837851567,0.3407386084630103,-0.1576781753221464,0.5894323954767299,48061
CAMP,1938,1219,3980,5786,1992,1,TX,0,0,0.48693467336683416,0.30628140703517587,-0.1806532663316583,0.6878672658140339,48063
CARSON,825,1647,3057,3986,1992,1,TX,0,0,0.2698724239450442,0.5387634936211972,0.26889106967615306,0.7669342699448068,48065
CASS,5476,3999,11660,17352,1992,1,TX,0,0,0.46963979416809604,0.342967409948542,-0.126672384219554,0.6719686491470724,48067
CASTRO,1113,1307,2910,4453,1992,1,TX,0,0,0.3824742268041237,0.4491408934707904,0.06666666666666671,0.6534920278463957,48069
CHAMBERS,2832,3398,8366,11575,1992,1,TX,0,0,0.3385130289266077,0.4061678221372221,0.0676547932106144,0.7227645788336933,48071
CHEROKEE,5003,5847,14138,20525,1992,1,TX,0,0,0.35386900551704625,0.413566275286462,0.05969726976941575,0.6888185140073082,48073
CHILDRESS,881,1033,2338,3306,1992,1,TX,0,0,0.37681779298545764,0.441830624465355,0.06501283147989734,0.7071990320629159,48075
CLAY,1919,1586,4910,6357,1992,1,TX,0,0,0.39083503054989815,0.3230142566191446,-0.06782077393075353,0.7723769073462325,48077
COCHRAN,454,750,1461,2189,1992,1,TX,0,0,0.3107460643394935,0.5133470225872689,0.20260095824777546,0.667428049337597,48079
COKE,580,640,1614,2171,1992,1,TX,0,0,0.3593556381660471,0.3965303593556382,0.03717472118959109,0.7434362045140488,48081
COLEMAN,1579,1462,4138,6001,1992,1,TX,0,0,0.38158530691155146,0.35331077815369744,-0.028274528757854023,0.6895517413764373,48083
COLLIN,24508,60514,128833,153736,1992,1,TX,0,0,0.19023076385708632,0.4697088478883516,0.2794780840312653,0.8380145183951709,48085
COLLINGSWORTH,635,697,1600,2159,1992,1,TX,0,0,0.396875,0.435625,0.03875000000000001,0.7410838351088467,48087
COLORADO,2442,3286,7162,10171,1992,1,TX,0,0,0.3409662105557107,0.4588103881597319,0.11784417760402122,0.704158883099007,48089
